Strassen: N: 1, Time: 0.000000
Normal: N: 1, Time: 0.000000
Strassen: N: 2, Time: 0.000000
Normal: N: 2, Time: 0.000000
Strassen: N: 4, Time: 0.000001
Normal: N: 4, Time: 0.000001
Strassen: N: 8, Time: 0.000002
Normal: N: 8, Time: 0.000001
Strassen: N: 16, Time: 0.000009
Normal: N: 16, Time: 0.000006
Strassen: N: 32, Time: 0.000050
Normal: N: 32, Time: 0.000049
Strassen: N: 64, Time: 0.000398
Normal: N: 64, Time: 0.000394
Strassen: N: 128, Time: 0.004456
Normal: N: 128, Time: 0.004367
Strassen: N: 256, Time: 0.024432
Normal: N: 256, Time: 0.023927
Strassen: N: 512, Time: 0.113020
Normal: N: 512, Time: 0.163072
Strassen: N: 1024, Time: 0.914166
Normal: N: 1024, Time: 2.027958
Strassen: N: 2048, Time: 7.045491
Normal: N: 2048, Time: 92.950448
